Closed Positions
ROLLOVER IRA (221807343)
From: 01/01/2020
To: 07/27/2020
All Symbols
07/27/2020 02:35:24 PM ET

Total G/L: 14855.72
Short-Term G/L: 
Long-Term G/L: 14855.72

"03/18/2020","03/26/2020","20","81.907","102.997","1,638.14","2,059.95","--","421.81"
"EADSY","AIRBUS SE UNSPON ADREA REPR 0.25 ORD EUR1","200","19.38","19.789","3876","3957.91","","81.91"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"06/15/2020","06/16/2020","200","19.38","19.789","3,876.00","3,957.91","--","81.91"
"FBALX","FIDELITY BALANCED","416.652","24","24.69","10000","10287.14","","287.14"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"12/13/2019","01/03/2020","10.313","0.00","24.69","0.00","254.63","--","254.63"
"11/26/2019","01/03/2020","406.339","24.609","24.69","10,000.00","10,032.51","--","32.51"
"FOCPX","FIDELITY OTC PORT","1551.572","12.89","13.36","20000","20729.64","","729.64"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"02/04/2020","06/02/2020","738.007","13.55","13.89","10,000.00","10,250.92","--","250.92"
"12/20/2019","01/03/2020","8.412","0.00","12.88","0.00","108.35","--","108.35"
"11/26/2019","01/03/2020","805.153","12.419","12.879","10,000.00","10,370.37","--","370.37"
"FXAIX","FIDELITY 500 INDEX FUND","92.928","108.686","112.189","10100","10425.59","","325.59"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"12/13/2019","01/03/2020","0.631","0.00","112.187","0.00","70.79","--","70.79"
"11/26/2019","01/03/2020","91.374","109.44","112.19","10,000.00","10,251.25","--","251.25"
"11/22/2019","01/03/2020","0.923","108.342","112.188","100.00","103.55","--","3.55"
"H","HYATT HOTELS CORP COM USD0.01 CLASS A","50","51.35","52.628","2567.5","2631.44","","63.94"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/04/2020","05/08/2020","50","51.35","52.628","2,567.50","2,631.44","--","63.94"
"INTC","INTEL CORP COM USD0.001","450","50.038","50.732","22517.5","22829.49","","311.99"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/27/2020","07/27/2020","100","50.08","50.558","5,008.00","5,055.89","--","47.89"
"07/27/2020","07/27/2020","100","50.12","50.558","5,012.00","5,055.89","--","43.89"
"07/27/2020","07/27/2020","50","50.15","50.558","2,507.50","2,527.94","--","20.44"
"07/24/2020","07/24/2020","50","49.80","50.948","2,490.00","2,547.44","--","57.44"
"07/24/2020","07/24/2020","50","50.00","50.948","2,500.00","2,547.44","--","47.44"
"07/24/2020","07/24/2020","100","50.00","50.948","5,000.00","5,094.89","--","94.89"
"JNJ","JOHNSON &JOHNSON COMUSD1.00","350","143.41","144.417","50193.5","50545.95","","352.45"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"01/07/2020","01/07/2020","50","143.15","144.417","7,157.50","7,220.85","--","63.35"
"01/07/2020","01/07/2020","100","143.32","144.417","14,332.00","14,441.70","--","109.70"
"01/06/2020","01/07/2020","100","143.44","144.417","14,344.00","14,441.70","--","97.70"
"01/06/2020","01/07/2020","100","143.60","144.417","14,360.00","14,441.70","--","81.70"
"JPM","JPMORGAN CHASE & CO COM USD1.00","830","112.16","113.608","93093.15","94294.88","","1201.73"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/23/2020","07/24/2020","60","98.50","99.487","5,910.00","5,969.26","--","59.26"
"07/21/2020","07/21/2020","100","98.50","98.997","9,850.00","9,899.78","--","49.78"
"07/20/2020","07/21/2020","50","98.00","98.997","4,900.00","4,949.89","--","49.89"
"05/04/2020","05/05/2020","20","91.42","93.877","1,828.40","1,877.55","--","49.15"
"04/28/2020","04/29/2020","100","95.86","98.697","9,586.00","9,869.78","--","283.78"
"04/14/2020","04/14/2020","50","93.75","96.456","4,687.50","4,822.82","--","135.32"
"04/03/2020","04/06/2020","50","84.05","89.358","4,202.50","4,467.90","--","265.40"
"04/01/2020","04/06/2020","50","85.16","89.358","4,258.00","4,467.90","--","209.90"
"01/07/2020","01/08/2020","100","136.53","137.057","13,653.00","13,705.71","--","52.71"
"01/07/2020","01/08/2020","50","136.50","137.057","6,825.00","6,852.86","--","27.86"
"01/07/2020","01/08/2020","50","136.70","137.057","6,835.00","6,852.86","--","17.86"
"01/07/2020","01/08/2020","50","137.055","137.057","6,852.75","6,852.86","--","0.11"
"01/06/2020","01/08/2020","100","137.05","137.057","13,705.00","13,705.71","--","0.71"
"KO","COCA COLA CO","100","44","44.409","4400","4440.9","","40.9"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/09/2020","07/10/2020","100","44.00","44.409","4,400.00","4,440.90","--","40.90"
"MAR","MARRIOTT INTERNATIONAL INC COM USD0.01 CLASS A","50","88.5","89.468","4425","4473.4","","48.4"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/20/2020","07/21/2020","50","88.50","89.468","4,425.00","4,473.40","--","48.40"
"MRK","MERCK &CO. INC COM","1180","84.432","84.786","99630.3","100048.25","","417.95"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"06/24/2020","07/06/2020","200","75.50","79.998","15,100.00","15,999.66","--","899.66"
"06/24/2020","07/06/2020","100","76.00","79.998","7,600.00","7,999.82","--","399.82"
"06/15/2020","07/06/2020","100","74.91","79.998","7,491.00","7,999.82","--","508.82"
"06/12/2020","07/06/2020","50","76.00","79.998","3,800.00","3,999.91","--","199.91"
"01/21/2020","07/06/2020","100","90.00","79.998","9,000.00","7,999.82","--","-1,000.18"
"01/21/2020","07/06/2020","100","89.75","79.998","8,975.00","7,999.82","--","-975.18"
"01/08/2020","01/09/2020","100","88.65","89.878","8,865.00","8,987.82","--","122.82"
"01/07/2020","01/09/2020","100","89.46","89.878","8,946.00","8,987.81","--","41.81"
"01/07/2020","01/09/2020","100","89.46","89.878","8,946.00","8,987.81","--","41.81"
"12/31/2019","01/06/2020","30","90.61","91.678","2,718.30","2,750.35","--","32.05"
"12/30/2019","01/06/2020","50","90.78","91.678","4,539.00","4,583.90","--","44.90"
"12/30/2019","01/06/2020","150","91.00","91.678","13,650.00","13,751.71","--","101.71"
"NVS","NOVARTIS AG SPONSORED ADR","200","94.94","95.348","18988","19069.6","","81.6"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"01/06/2020","01/06/2020","50","94.73","95.348","4,736.50","4,767.40","--","30.90"
"12/30/2019","01/06/2020","150","95.01","95.348","14,251.50","14,302.20","--","50.70"
"OLN","OLIN CORP NEW","50","11.75","13.059","587.5","652.98","","65.48"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/04/2020","05/12/2020","50","11.75","13.059","587.50","652.98","--","65.48"
"OSK","OSHKOSH CORP COM","220","71.867","72.969","15810.9","16053.39","","242.49"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/10/2020","07/13/2020","100","71.32","72.948","7,132.00","7,294.83","--","162.83"
"07/10/2020","07/13/2020","60","71.43","72.907","4,285.80","4,374.46","--","88.66"
"06/25/2020","07/13/2020","10","69.31","73.068","693.10","730.68","--","37.58"
"06/18/2020","07/13/2020","50","74.00","73.068","3,700.00","3,653.42","--","-46.58"
"PK","PARK HOTELS RESORTS INC COM","600","8.855","9.101","5313","5460.86","","147.86"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/23/2020","07/23/2020","300","9.15","9.369","2,745.00","2,810.93","--","65.93"
"07/20/2020","07/21/2020","100","8.98","9.349","898.00","934.97","--","36.97"
"05/05/2020","05/08/2020","100","8.35","8.574","835.00","857.48","--","22.48"
"05/04/2020","05/08/2020","100","8.35","8.574","835.00","857.48","--","22.48"
"PRDGX","T ROWE PRICE DIVIDEND GROWTH","38.489","51.962","52.062","2000","2003.82","","3.82"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"12/12/2019","01/03/2020","0.211","0.00","52.037","0.00","10.98","--","10.98"
"12/12/2019","01/03/2020","0.139","0.00","52.086","0.00","7.24","--","7.24"
"11/26/2019","01/03/2020","38.139","52.439","52.062","2,000.00","1,985.60","--","-14.40"
"RDS A","ROYAL DUTCH SHELL ADR EA REP 2 CL A EUR0.07","520","35.794","37.769","18612.93","19640.2","","1027.27"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"05/01/2020","06/05/2020","100","31.37","37.809","3,137.00","3,780.91","--","643.91"
"05/01/2020","06/05/2020","50","31.378","37.809","1,568.93","1,890.46","--","321.53"
"04/16/2020","06/05/2020","50","32.78","37.809","1,639.00","1,890.46","--","251.46"
"04/16/2020","06/05/2020","20","32.90","37.809","658.00","756.18","--","98.18"
"04/13/2020","06/05/2020","300","38.70","37.74","11,610.00","11,322.19","--","-287.81"
"SAFRY","SAFRAN SPON ADR","206","26.582","26.899","5476.04","5541.27","","65.23"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"06/19/2020","06/23/2020","200","26.579","26.899","5,315.90","5,379.87","--","63.97"
"06/18/2020","06/23/2020","6","26.69","26.90","160.14","161.40","--","1.26"
"SNY","SANOFI SPONSORED ADR","150","50.501","51.158","7575.16","7673.84","","98.68"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"12/30/2019","01/06/2020","150","50.501","51.158","7,575.16","7,673.84","--","98.68"
"SPR","SPIRIT AEROSYSTEMS HLDGS INC CL A","500","24.207","24.469","12103.9","12234.72","","130.82"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/10/2020","07/15/2020","250","21.707","24.469","5,426.90","6,117.37","--","690.47"
"06/24/2020","07/15/2020","50","22.54","24.469","1,127.00","1,223.47","--","96.47"
"06/18/2020","07/15/2020","100","27.50","24.469","2,750.00","2,446.94","--","-303.06"
"06/17/2020","07/15/2020","100","28.00","24.469","2,800.00","2,446.94","--","-353.06"
"UAL","UNITED AIRLS HLDGS INC COM","290","27.971","31.908","8111.8","9253.59","","1141.79"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"04/06/2020","04/09/2020","20","23.90","32.62","478.00","652.40","--","174.40"
"04/03/2020","04/09/2020","20","22.42","32.619","448.40","652.38","--","203.98"
"04/02/2020","04/09/2020","10","25.00","32.619","250.00","326.19","--","76.19"
"04/01/2020","04/09/2020","10","25.50","32.619","255.00","326.19","--","71.19"
"03/27/2020","04/09/2020","10","33.20","32.619","332.00","326.19","--","-5.81"
"03/26/2020","04/09/2020","20","37.37","32.619","747.40","652.38","--","-95.02"
"03/18/2020","03/24/2020","100","18.01","31.589","1,801.00","3,158.93","--","1,357.93"
"03/12/2020","03/24/2020","100","38.00","31.589","3,800.00","3,158.93","--","-641.07"
"UNH","UNITEDHEALTH GROUP","300","290.02","298.213","87006","89464.14","","2458.14"
"ASSOCIATED LOTS","","","","","","","",""
