Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",30.00000,03/04/2020,06/03/2020,"$851.38 ","$1441.50 ","($590.12)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",30.00000,03/05/2020,06/03/2020,"$851.38 ","$1372.50 ","($521.12)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,03/03/2020,06/03/2020,"$1418.97 ","$2204.03 ","($785.06)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,04/16/2020,06/03/2020,"$1418.97 ","$1140.00 ","$278.97 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",200.00000,04/16/2020,06/03/2020,"$5675.87 ","$4554.00 ","$1121.87 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",300.00000,04/17/2020,06/03/2020,"$8513.81 ","$7239.00 ","$1274.81 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",100.00000,04/17/2020,06/03/2020,"$2837.93 ","$2413.00 ","$424.93 ",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",100.00000,03/18/2020,04/03/2020,"$2097.95 ","$2239.00 ","($141.05)",-
DAL(247361702),"DELTA AIR LINES INC DEL COM NEW",50.00000,03/03/2020,03/24/2020,"$1317.97 ","$2422.00 ","($1104.03)",-
,,,,Wash Sale,"$0.00 ","($1104.03)","$1104.03 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",100.00000,07/20/2020,07/21/2020,"$19099.57 ","$19050.00 ","$49.57 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,07/16/2020,07/17/2020,"$9436.79 ","$9422.00 ","$14.79 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,07/17/2020,07/17/2020,"$9449.29 ","$9422.00 ","$27.29 ",-
DG(256677105),"DOLLAR GEN CORP NEW COM",50.00000,06/04/2020,06/05/2020,"$9328.29 ","$9265.50 ","$62.79 ",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/20/2020,07/21/2020,"$5899.86 ","$5951.50 ","($51.64)",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/21/2020,07/21/2020,"$5999.86 ","$5951.50 ","$48.36 ",-
DIS(254687106),"DISNEY WALT CO",50.00000,07/21/2020,07/21/2020,"$5994.36 ","$5951.50 ","$42.86 ",-
DIS(254687106),"DISNEY WALT CO",100.00000,07/15/2020,07/16/2020,"$12099.73 ","$11889.00 ","$210.73 ",-
DIS(254687106),"DISNEY WALT CO",20.00000,03/18/2020,03/18/2020,"$1634.56 ","$1600.40 ","$34.16 ",-
EADSY(009279100),"AIRBUS SE UNSPON ADREA REPR 0.25 ORD EUR1",100.00000,06/23/2020,07/06/2020,"$1902.95 ","$1880.00 ","$22.95 ",-
INTC(458140100),"INTEL CORP COM USD0.001",100.00000,07/22/2020,07/22/2020,"$6149.86 ","$6100.00 ","$49.86 ",-
INTC(458140100),"INTEL CORP COM USD0.001",100.00000,07/21/2020,07/21/2020,"$6099.86 ","$6079.00 ","$20.86 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",20.00000,07/15/2020,07/22/2020,"$2988.33 ","$2986.67 ","$1.66 ",-
JNJ(478160104),"JOHNSON &JOHNSON COMUSD1.00",80.00000,07/17/2020,07/22/2020,"$11953.33 ","$11880.00 ","$73.33 ",-
